episode,total_reward,steps,success,epsilon,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
1,-608,150,0,0.997,1,0,0,-608.0,0.0
2,-551,150,0,0.994009,1,1,0,-579.5,0.0
3,-533,150,0,0.991026973,1,1,0,-564.0,0.0
4,-542,150,0,0.988053892081,1,1,0,-558.5,0.0
5,-556,150,0,0.985089730404757,1,1,0,-558.0,0.0
6,-616,150,0,0.9821344612135428,1,1,0,-567.6666666666666,0.0
7,-572,150,0,0.9791880578299021,1,1,0,-568.2857142857143,0.0
8,-498,150,0,0.9762504936564125,0,2,0,-559.5,0.0
9,-591,150,0,0.9733217421754432,1,0,0,-563.0,0.0
10,-573,150,0,0.9704017769489168,1,1,0,-564.0,0.0
11,-513,150,0,0.9674905716180701,1,1,0,-559.3636363636364,0.0
12,-511,150,0,0.9645880999032158,0,1,0,-555.3333333333334,0.0
13,-532,150,0,0.9616943356035061,1,1,0,-553.5384615384615,0.0
14,-533,150,0,0.9588092525966956,1,2,0,-552.0714285714286,0.0
15,-562,150,0,0.9559328248389055,1,2,0,-552.7333333333333,0.0
16,-502,150,0,0.9530650263643888,0,2,0,-549.5625,0.0
17,-633,150,0,0.9502058312852957,1,1,0,-554.4705882352941,0.0
18,-536,150,0,0.9473552137914398,1,2,0,-553.4444444444445,0.0
19,-581,150,0,0.9445131481500655,1,1,0,-554.8947368421053,0.0
20,-460,150,0,0.9416796087056153,1,3,0,-550.15,0.0
21,-665,150,0,0.9388545698794984,1,1,0,-555.6190476190476,0.0
22,-529,150,0,0.93603800616986,1,2,0,-554.4090909090909,0.0
23,-640,150,0,0.9332298921513504,0,0,0,-558.1304347826087,0.0
24,-593,150,0,0.9304302024748964,1,1,0,-559.5833333333334,0.0
25,-570,150,0,0.9276389118674717,1,2,0,-560.0,0.0
26,-525,150,0,0.9248559951318693,1,2,0,-558.6538461538462,0.0
27,-531,150,0,0.9220814271464737,0,2,0,-557.6296296296297,0.0
28,-566,150,0,0.9193151828650342,1,2,0,-557.9285714285714,0.0
29,-538,150,0,0.9165572373164391,1,1,0,-557.2413793103449,0.0
30,-564,150,0,0.9138075656044898,1,0,0,-557.4666666666667,0.0
31,-439,150,0,0.9110661429076764,1,2,0,-553.6451612903226,0.0
32,-532,150,0,0.9083329444789534,1,2,0,-552.96875,0.0
33,-489,150,0,0.9056079456455165,1,2,0,-551.030303030303,0.0
34,-458,150,0,0.90289112180858,1,2,0,-548.2941176470588,0.0
35,-472,150,0,0.9001824484431542,1,1,0,-546.1142857142858,0.0
