episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
49,1,Alternative Maze Room,-509,150,0,0.8631032605924442,0.5221137277285258,0,1,0,-568.6938775510204,0.0
50,2,Advanced Puzzle Room,-594,150,0,0.860513950810667,0.5569155669212341,1,0,0,-569.2,0.0
51,2,Advanced Puzzle Room,-580,150,0,0.857932408958235,0.5228236383199691,0,0,0,-569.4117647058823,0.0
52,1,Alternative Maze Room,-478,150,0,0.8553586117313603,0.5020078446964423,0,1,0,-567.6538461538462,0.0
53,1,Alternative Maze Room,-474,150,0,0.8527925358961662,0.4913816268245379,0,1,0,-565.8867924528302,0.0
54,0,Classic Escape Room,-467,150,0,0.8502341582884777,0.5337561995784441,1,1,0,-564.0555555555555,0.0
55,1,Alternative Maze Room,-504,150,0,0.8476834558136123,0.43316362033287686,1,0,0,-562.9636363636364,0.0
56,2,Advanced Puzzle Room,-642,150,0,0.8451404054461714,0.4918072558939457,0,1,0,-564.375,0.0
57,2,Advanced Puzzle Room,-564,150,0,0.8426049842298329,0.5780322034657002,1,1,0,-564.3684210526316,0.0
58,0,Classic Escape Room,-407,150,0,0.8400771692771434,0.47066218703985213,1,2,0,-561.6551724137931,0.0
59,1,Alternative Maze Room,-469,150,0,0.837556937769312,0.4717665634552638,1,0,0,-560.0847457627119,0.0
60,0,Classic Escape Room,-587,150,0,0.835044266956004,0.5135257128377756,1,1,0,-560.5333333333333,0.0
61,1,Alternative Maze Room,-507,150,0,0.8325391341551359,0.6109738025069237,1,0,0,-559.655737704918,0.0
62,0,Classic Escape Room,-538,150,0,0.8300415167526705,0.5096731015046437,0,1,0,-559.3064516129032,0.0
63,2,Advanced Puzzle Room,-590,150,0,0.8275513922024125,0.5710967881977558,0,0,0,-559.7936507936508,0.0
64,1,Alternative Maze Room,-550,150,0,0.8250687380258053,0.513831389049689,0,1,0,-559.640625,0.0
65,2,Advanced Puzzle Room,-485,150,0,0.8225935318117279,0.5393214545647304,0,1,0,-558.4923076923077,0.0
66,2,Advanced Puzzle Room,-495,150,0,0.8201257512162927,0.5039354784289996,0,0,0,-557.530303030303,0.0
67,0,Classic Escape Room,-483,150,0,0.8176653739626438,0.4621670138835907,1,1,0,-556.4179104477612,0.0
68,0,Classic Escape Room,-424,150,0,0.8152123778407558,0.5079644332826138,0,1,0,-554.4705882352941,0.0
69,1,Alternative Maze Room,-542,150,0,0.8127667407072335,0.5287811836600304,1,0,0,-554.2898550724638,0.0
70,2,Advanced Puzzle Room,-527,150,0,0.8103284404851119,0.4905558854341507,1,1,0,-553.9,0.0
71,2,Advanced Puzzle Room,-585,150,0,0.8078974551636565,0.5354572319984436,0,0,0,-554.3380281690141,0.0
72,0,Classic Escape Room,-437,150,0,0.8054737627981655,0.4905131883422534,0,1,0,-552.7083333333334,0.0
73,2,Advanced Puzzle Room,-477,150,0,0.803057341509771,0.4793036422133446,1,1,0,-551.6712328767123,0.0
74,2,Advanced Puzzle Room,-501,150,0,0.8006481694852418,0.48189213146766025,1,1,0,-550.9864864864865,0.0
75,0,Classic Escape Room,-462,150,0,0.798246224976786,0.43871660883227986,0,2,0,-549.8,0.0
76,1,Alternative Maze Room,-526,150,0,0.7958514863018556,0.46803961619734763,1,1,0,-549.4868421052631,0.0
77,0,Classic Escape Room,-699,150,0,0.79346393184295,0.5155992409586907,0,1,0,-551.4285714285714,0.0
78,1,Alternative Maze Room,-483,150,0,0.7910835400474212,0.5356584634880225,0,1,0,-550.5512820512821,0.0
79,0,Classic Escape Room,-459,150,0,0.7887102894272789,0.5202754444877307,1,1,0,-549.3924050632911,0.0
80,0,Classic Escape Room,-406,150,0,0.7863441585589971,0.5180935478210449,1,1,0,-547.6,0.0
81,1,Alternative Maze Room,-430,150,0,0.78398512608332,0.5136612821122011,0,2,0,-546.1481481481482,0.0
82,2,Advanced Puzzle Room,-528,150,0,0.7816331707050701,0.5078604009995857,1,0,0,-545.9268292682926,0.0
