episode,stage,stage_name,rows,cols,wall_density,num_puzzles,level_seed,total_reward,steps,success,rolling_success,epsilon,loss
57,1,stage_1_small_easy,6,6,0.0909,1,808,-534,144,0,0.0,0.9445671308589195,0.23844166312159765
58,1,stage_1_small_easy,6,6,0.0935,1,42,-481,144,0,0.0,0.9436225637280606,0.2239011412796875
59,1,stage_1_small_easy,6,6,0.086,1,369,-493,144,0,0.0,0.9426789411643326,0.19904581514290637
60,1,stage_1_small_easy,6,6,0.0917,1,748,-507,144,0,0.0,0.9417362622231683,0.19441973066164386
61,1,stage_1_small_easy,6,6,0.0923,1,309,-523,144,0,0.0,0.9407945259609451,0.21638407485766542
62,1,stage_1_small_easy,6,6,0.092,1,101,-536,144,0,0.0,0.9398537314349842,0.1892862855974171
63,1,stage_1_small_easy,6,6,0.0935,1,127,-604,144,0,0.0,0.9389138777035492,0.21569137916796738
64,1,stage_1_small_easy,6,6,0.108,1,38,-442,144,0,0.0,0.9379749638258457,0.16732630599290133
65,1,stage_1_small_easy,6,6,0.1094,1,941,-503,144,0,0.0,0.9370369888620198,0.1768359570350084
66,1,stage_1_small_easy,6,6,0.1122,1,67,-487,144,0,0.0,0.9360999518731578,0.17449507758849198
67,1,stage_1_small_easy,6,6,0.11,1,394,-578,144,0,0.0,0.9351638519212846,0.17069342732429504
68,1,stage_1_small_easy,6,6,0.0958,1,459,-515,144,0,0.0,0.9342286880693633,0.14565127834470737
69,1,stage_1_small_easy,6,6,0.0969,1,225,-484,144,0,0.0,0.933294459381294,0.20769266287485758
70,1,stage_1_small_easy,6,6,0.0972,1,117,-579,144,0,0.0,0.9323611649219127,0.18712536809552047
71,1,stage_1_small_easy,6,6,0.1161,1,770,-472,144,0,0.0,0.9314288037569908,0.22350236628618506
72,1,stage_1_small_easy,6,6,0.0999,1,212,-609,144,0,0.0,0.9304973749532338,0.20952266982446113
73,1,stage_1_small_easy,6,6,0.1049,1,202,-432,144,0,0.0,0.9295668775782806,0.2007063094319569
74,1,stage_1_small_easy,6,6,0.0945,1,107,-534,144,0,0.0,0.9286373107007023,0.15783678657478756
75,1,stage_1_small_easy,6,6,0.1026,1,898,-447,144,0,0.0,0.9277086733900016,0.22139533730741176
76,1,stage_1_small_easy,6,6,0.1133,1,650,-458,144,0,0.0,0.9267809647166116,0.193533750043975
77,1,stage_1_small_easy,6,6,0.0804,1,837,-474,144,0,0.0,0.925854183751895,0.17524610992728007
78,1,stage_1_small_easy,6,6,0.101,1,617,-504,144,0,0.0,0.9249283295681431,0.19843739861001572
79,1,stage_1_small_easy,6,6,0.1033,1,67,-531,144,0,0.0,0.9240034012385749,0.1771380740424825
80,1,stage_1_small_easy,6,6,0.0827,1,41,-486,144,0,0.0,0.9230793978373364,0.2050014968133635
81,1,stage_1_small_easy,6,6,0.1104,1,338,-507,144,0,0.0,0.9221563184394991,0.21984949982207683
82,1,stage_1_small_easy,6,6,0.1147,1,991,-461,144,0,0.0,0.9212341621210596,0.18795125439970028
83,1,stage_1_small_easy,6,6,0.116,1,587,-577,144,0,0.0,0.9203129279589385,0.1835796294423441
84,1,stage_1_small_easy,6,6,0.1099,1,296,-524,144,0,0.0,0.9193926150309796,0.12209321387733023
85,1,stage_1_small_easy,6,6,0.1138,1,622,-511,144,0,0.0,0.9184732224159486,0.16522346985422903
86,1,stage_1_small_easy,6,6,0.1063,1,758,-529,144,0,0.0,0.9175547491935327,0.20633393251854512
87,1,stage_1_small_easy,6,6,0.1003,1,340,-546,144,0,0.0,0.9166371944443392,0.1606670093929602
88,1,stage_1_small_easy,6,6,0.1144,1,791,-513,144,0,0.0,0.9157205572498949,0.16354394947282141
89,1,stage_1_small_easy,6,6,0.1124,1,167,-472,144,0,0.0,0.914804836692645,0.1571598607632849
90,1,stage_1_small_easy,6,6,0.0915,1,56,-463,144,0,0.0,0.9138900318559524,0.16322944861733252
91,1,stage_1_small_easy,6,6,0.0967,1,911,-543,144,0,0.0,0.9129761418240965,0.19907081085774633
92,1,stage_1_small_easy,6,6,0.1124,1,421,-479,144,0,0.0,0.9120631656822724,0.1911952923465934
93,1,stage_1_small_easy,6,6,0.0955,1,103,-530,144,0,0.0,0.9111511025165902,0.113407743577328
