agent,level_id,level_name,episode,reward,steps,success,solved_puzzles,collected_key,door_open
DQN,0,Classic Escape Room,1,265,21,1,3,1,1
DQN,0,Classic Escape Room,2,265,21,1,3,1,1
DQN,0,Classic Escape Room,3,265,21,1,3,1,1
DQN,1,Alternative Maze Room,1,261,25,1,3,1,1
DQN,1,Alternative Maze Room,2,261,25,1,3,1,1
DQN,1,Alternative Maze Room,3,261,25,1,3,1,1
DQN,2,Advanced Puzzle Room,1,257,29,1,3,1,1
DQN,2,Advanced Puzzle Room,2,257,29,1,3,1,1
DQN,2,Advanced Puzzle Room,3,257,29,1,3,1,1
