episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
63,2,Advanced Puzzle Room,-506,150,0,0.8275513922024125,0,1,1,0,-552.4920634920635,0.0
64,2,Advanced Puzzle Room,-518,150,0,0.8250687380258053,0,1,2,0,-551.953125,0.0
65,2,Advanced Puzzle Room,-442,150,0,0.8225935318117279,0,1,2,0,-550.2615384615384,0.0
66,1,Alternative Maze Room,-508,150,0,0.8201257512162927,0,1,2,0,-549.6212121212121,0.0
67,1,Alternative Maze Room,-460,150,0,0.8176653739626438,0,1,2,0,-548.2835820895523,0.0
68,1,Alternative Maze Room,-586,150,0,0.8152123778407558,0,1,1,0,-548.8382352941177,0.0
69,2,Advanced Puzzle Room,-450,150,0,0.8127667407072335,0,1,2,0,-547.4057971014493,0.0
70,2,Advanced Puzzle Room,-495,150,0,0.8103284404851119,0,1,2,0,-546.6571428571428,0.0
71,0,Classic Escape Room,-520,150,0,0.8078974551636565,0,1,2,0,-546.2816901408451,0.0
72,1,Alternative Maze Room,-444,150,0,0.8054737627981655,0,1,3,0,-544.8611111111111,0.0
73,0,Classic Escape Room,-526,150,0,0.803057341509771,0,1,2,0,-544.6027397260274,0.0
74,1,Alternative Maze Room,-521,150,0,0.8006481694852418,0,1,1,0,-544.2837837837837,0.0
75,1,Alternative Maze Room,-404,150,0,0.798246224976786,0,1,3,0,-542.4133333333333,0.0
76,0,Classic Escape Room,-491,150,0,0.7958514863018556,0,1,2,0,-541.7368421052631,0.0
77,0,Classic Escape Room,-451,150,0,0.79346393184295,0,1,2,0,-540.5584415584416,0.0
78,0,Classic Escape Room,-459,150,0,0.7910835400474212,0,1,2,0,-539.5128205128206,0.0
79,1,Alternative Maze Room,-562,150,0,0.7887102894272789,0,1,1,0,-539.7974683544304,0.0
80,1,Alternative Maze Room,-454,150,0,0.7863441585589971,0,1,2,0,-538.725,0.0
81,2,Advanced Puzzle Room,-460,150,0,0.78398512608332,0,1,2,0,-537.7530864197531,0.0
82,0,Classic Escape Room,-416,150,0,0.7816331707050701,0,1,2,0,-536.2682926829268,0.0
83,0,Classic Escape Room,-429,150,0,0.7792882711929549,0,1,2,0,-534.9759036144578,0.0
84,1,Alternative Maze Room,-486,150,0,0.776950406379376,0,1,2,0,-534.3928571428571,0.0
85,2,Advanced Puzzle Room,-497,150,0,0.7746195551602378,0,1,2,0,-533.9529411764706,0.0
86,0,Classic Escape Room,-460,150,0,0.7722956964947572,0,1,2,0,-533.0930232558139,0.0
87,0,Classic Escape Room,-485,150,0,0.7699788094052729,0,1,2,0,-532.5402298850574,0.0
88,1,Alternative Maze Room,-447,150,0,0.767668872977057,0,0,3,0,-531.5681818181819,0.0
89,1,Alternative Maze Room,-571,150,0,0.7653658663581259,0,1,1,0,-532.0112359550562,0.0
90,1,Alternative Maze Room,-417,150,0,0.7630697687590515,0,1,3,0,-530.7333333333333,0.0
91,0,Classic Escape Room,-423,150,0,0.7607805594527743,0,1,3,0,-529.5494505494505,0.0
92,2,Advanced Puzzle Room,-468,150,0,0.7584982177744161,0,1,2,0,-528.8804347826087,0.0
93,1,Alternative Maze Room,-458,150,0,0.7562227231210928,0,1,1,0,-528.1182795698925,0.0
94,0,Classic Escape Room,-513,150,0,0.7539540549517295,0,1,2,0,-527.9574468085107,0.0
95,2,Advanced Puzzle Room,-416,150,0,0.7516921927868743,0,1,3,0,-526.7789473684211,0.0
96,2,Advanced Puzzle Room,-502,150,0,0.7494371162085136,0,1,2,0,-526.5208333333334,0.0
97,1,Alternative Maze Room,-504,150,0,0.747188804859888,0,0,2,0,-526.2886597938144,0.0
98,1,Alternative Maze Room,-433,150,0,0.7449472384453084,0,1,2,0,-525.3367346938776,0.0
99,2,Advanced Puzzle Room,-506,150,0,0.7427123967299725,0,1,1,0,-525.1414141414141,0.0
100,0,Classic Escape Room,-432,150,0,0.7404842595397826,0,1,3,0,-524.21,0.0
101,2,Advanced Puzzle Room,-538,150,0,0.7382628067611632,0,0,1,0,-523.55,0.0
102,2,Advanced Puzzle Room,-530,150,0,0.7360480183408797,0,1,1,0,-522.87,0.0
103,1,Alternative Maze Room,-405,150,0,0.7338398742858571,0,1,3,0,-520.85,0.0
104,0,Classic Escape Room,-57,92,1,0.7316383546629995,0,1,3,1,-516.14,0.01
105,1,Alternative Maze Room,-508,150,0,0.7294434395990105,0,1,1,0,-515.45,0.01
106,1,Alternative Maze Room,-394,150,0,0.7272551092802134,0,1,3,0,-512.87,0.01
107,0,Classic Escape Room,-358,150,0,0.7250733439523728,0,1,3,1,-511.69,0.01
108,0,Classic Escape Room,-505,150,0,0.7228981239205157,0,1,2,0,-511.14,0.01
109,0,Classic Escape Room,-410,150,0,0.7207294295487541,0,1,2,0,-508.85,0.01
110,0,Classic Escape Room,-143,123,1,0.7185672412601078,0,1,3,1,-504.13,0.02
111,1,Alternative Maze Room,-459,150,0,0.7164115395363275,0,1,2,0,-502.29,0.02
112,2,Advanced Puzzle Room,-382,150,0,0.7142623049177186,0,1,3,0,-500.43,0.02
113,0,Classic Escape Room,-496,150,0,0.7121195180029655,0,0,2,0,-500.13,0.02
114,0,Classic Escape Room,-394,150,0,0.7099831594489566,0,1,3,1,-498.36,0.02
115,0,Classic Escape Room,-474,150,0,0.7078532099706097,0,1,1,0,-497.3,0.02
116,2,Advanced Puzzle Room,-473,150,0,0.7057296503406979,0,1,2,0,-496.11,0.02
